id_ppt,id_img,order,ppt,image,trial,x,y,duration,train
14,7,6,PP24,1211,23,405.818965517241,130.76104525862,0.29,TRUE
14,7,9,PP24,1211,23,705.199548192769,266.728633283133,0.332,TRUE
14,7,11,PP24,1211,23,495.837053571429,103.480747767857,0.112,TRUE
14,9,1,PP24,1266,22,263.811141304348,162.390667459239,0.368,TRUE
14,9,2,PP24,1266,22,261.326923076923,88.6117788461537,0.26,TRUE
14,9,3,PP24,1266,22,719.557291666669,119.13330078125,0.48,TRUE
14,9,4,PP24,1266,22,567.188953488372,308.82449127907,0.43,TRUE
14,9,5,PP24,1266,22,566.690167682927,446.98456554878,0.656,TRUE
14,9,6,PP24,1266,22,395.249297752809,335.518346207865,0.356,TRUE
14,9,7,PP24,1266,22,621.476757369614,225.042517006803,0.882,TRUE
14,9,8,PP24,1266,22,455.019778481013,426.139734968354,0.316,TRUE
14,9,9,PP24,1266,22,672.698938992044,145.42906581565,0.754,TRUE
14,9,10,PP24,1266,22,468.453014184397,407.342918882979,0.282,TRUE
14,9,11,PP24,1266,22,590.537735849057,369.554097877359,0.53,TRUE
14,9,12,PP24,1266,22,571.360294117647,332.198988970588,0.34,TRUE
14,10,1,PP24,1306,15,335.143280632411,151.947721096838,0.506,TRUE
14,10,2,PP24,1306,15,448.441506410256,206.850961538462,0.312,TRUE
14,10,3,PP24,1306,15,296.912006578948,150.158048930921,0.304,TRUE
14,10,4,PP24,1306,15,434.753378378378,204.150126689189,0.74,TRUE
14,10,5,PP24,1306,15,428.308486238532,190.225415711009,0.218,TRUE
14,10,6,PP24,1306,15,261.472280334728,149.227739278243,0.478,TRUE
14,10,7,PP24,1306,15,227.691582914573,161.99258008794,0.398,TRUE
14,10,8,PP24,1306,15,431.388888888889,218.236142113095,0.504,TRUE
14,10,9,PP24,1306,15,653.696969696969,53.359375,0.33,TRUE
14,10,10,PP24,1306,15,606.451421800948,49.4325755331754,0.422,TRUE
14,10,11,PP24,1306,15,622.286184210526,51.6395970394737,0.304,TRUE
14,10,12,PP24,1306,15,617.418418141593,146.989940542035,0.904,TRUE
14,10,13,PP24,1306,15,624.639790076336,25.9131977576336,0.524,TRUE
14,10,14,PP24,1306,15,309.356617647059,221.208639705882,0.408,TRUE
14,11,1,PP24,1316,29,446.946590909091,197.940340909091,1.1,TRUE
14,11,2,PP24,1316,29,644.05696902655,258.934466606748,1.808,TRUE
14,11,3,PP24,1316,29,627.055214723925,279.04284892638,0.652,TRUE
14,11,4,PP24,1316,29,646.737315698181,261.205652374241,2.306,TRUE
14,11,5,PP24,1316,29,539.922385620915,237.185968137255,0.306,TRUE
14,15,1,PP24,1393,2,377.126116071429,312.503487723214,0.224,TRUE
14,15,2,PP24,1393,2,288.288316582914,234.13061400753799,0.398,TRUE
14,15,3,PP24,1393,2,228.4875,210.685546875,0.2,TRUE
14,15,4,PP24,1393,2,204.653614457831,214.897872740964,0.332,TRUE
14,15,5,PP24,1393,2,386.825842696629,481.242319171348,0.356,TRUE
14,15,6,PP24,1393,2,295.328467153284,445.149977189781,0.274,TRUE
14,15,7,PP24,1393,2,239.618362831858,472.999343196902,0.452,TRUE
14,15,8,PP24,1393,2,251.841216216216,495.133023648649,0.37,TRUE
