id_img,image,row,col,idx,x,y,value,value_normalized,saliency_log,log_lik_saliency
14,1383,4,13,244,140.5,500.5,0.25928989923173473,0.004030804859154707,-5.513789206052475,-12.891548114280347
14,1383,5,13,245,180.5,500.5,0.32555763177018165,0.005060973404526428,-5.286196441747914,-12.663955349975787
14,1383,6,13,246,220.5,500.5,0.31959582470038295,0.004968293817016502,-5.304678794188239,-12.682437702416111
14,1383,7,13,247,260.5,500.5,0.3232758280178144,0.005025501503461515,-5.293230028332971,-12.670988936560843
14,1383,8,13,248,300.5,500.5,0.3109193788463887,0.004833413668533678,-5.332202297285913,-12.709961205513785
14,1383,9,13,249,340.5,500.5,0.37711216906283074,0.005862417194070116,-5.139193269988365,-12.516952178216236
14,1383,10,13,250,380.5,500.5,0.32904735485400477,0.0051152230795236285,-5.275534267719465,-12.653293175947336
14,1383,11,13,251,420.5,500.5,0.3005562293386349,0.004672312779082262,-5.366101088119561,-12.743859996347433
14,1383,12,13,252,460.5,500.5,0.29405643757837596,0.004571269922077907,-5.387964230385398,-12.765723138613271
14,1383,13,13,253,500.5,500.5,0.2867725561269186,0.004458037957257707,-5.4130465296406864,-12.79080543786856
14,1383,14,13,254,540.5,500.5,0.29051406797927076,0.004516201827889503,-5.400083941955214,-12.777842850183086
14,1383,15,13,255,580.5,500.5,0.2413658957380553,0.0037521663136814844,-5.585421922146387,-12.96318083037426
14,1383,16,13,256,620.5,500.5,0.26613847807024266,0.004137269804153934,-5.487719176284984,-12.865478084512857
14,1383,17,13,257,660.5,500.5,0.21649939186541628,0.0033656027609283456,-5.694148205350664,-13.071907113578536
14,1383,18,13,258,700.5,500.5,0.2174591229577804,0.003380522311447071,-5.689725051411816,-13.067483959639688
14,1383,19,13,259,740.5,500.5,0.24553657671828585,0.0038170018557172843,-5.568290019047487,-12.94604892727536
14,1383,20,13,260,780.5,500.5,0.37022776396855633,0.005755395310114698,-5.157617549312475,-12.535376457540348
14,1383,1,14,261,20.5,540.5,0.14209773437612186,0.002208987854502761,-6.115220852747248,-13.492979760975121
14,1383,2,14,262,60.5,540.5,0.26507655191892815,0.004120761574934575,-5.49171728441795,-12.869476192645823
14,1383,3,14,263,100.5,540.5,0.24537456560988133,0.003814483303452314,-5.5689500615697165,-12.946708969797589
14,1383,4,14,264,140.5,540.5,0.3454045841796005,0.005369505254198675,-5.227019506139864,-12.604778414367736
14,1383,5,14,265,180.5,540.5,0.28571826781592524,0.004441648462489521,-5.416729696108159,-12.794488604336031
14,1383,6,14,266,220.5,540.5,0.3084096206622781,0.0047943980897788155,-5.340307107247957,-12.71806601547583
14,1383,7,14,267,260.5,540.5,0.3088828512588665,0.004801754721077917,-5.338773860980355,-12.716532769208229
14,1383,8,14,268,300.5,540.5,0.3512324829098146,0.005460103162524498,-5.210287595168561,-12.588046503396434
14,1383,9,14,269,340.5,540.5,0.41704911908461917,0.006483259165487494,-5.0385319374217925,-12.416290845649666
14,1383,10,14,270,380.5,540.5,0.28466475314704937,0.00442527099441584,-5.420423760721543,-12.798182668949416
14,1383,11,14,271,420.5,540.5,0.275383073055585,0.00428098214504436,-5.45357282257216,-12.831331730800033
14,1383,12,14,272,460.5,540.5,0.30600670670928315,0.004757043463676676,-5.348128924790744,-12.725887833018618
14,1383,13,14,273,500.5,540.5,0.31289699845474,0.004864156858879778,-5.325861885890935,-12.703620794118807
14,1383,14,14,274,540.5,540.5,0.33850513491583123,0.005262249500309714,-5.2471966819978615,-12.624955590225735
14,1383,15,14,275,580.5,540.5,0.20250340888569013,0.0031480274663623705,-5.76097922344523,-13.138738131673103
14,1383,16,14,276,620.5,540.5,0.1619410736932201,0.0025174635366570076,-5.984503417426001,-13.362262325653873
14,1383,17,14,277,660.5,540.5,0.1712919824134046,0.0026628285833422455,-5.928366343977235,-13.306125252205106
14,1383,18,14,278,700.5,540.5,0.21356061658077574,0.0033199178741186745,-5.70781523307094,-13.085574141298814
14,1383,19,14,279,740.5,540.5,0.2772433213164196,0.00430990073289226,-5.446840406943258,-12.824599315171131
14,1383,20,14,280,780.5,540.5,0.3309001926266058,0.005144026467234273,-5.269919146796783,-12.647678055024656
14,1383,1,15,281,20.5,580.5,0.14385339106954564,0.00223628050860085,-6.102941280483887,-13.48070018871176
14,1383,2,15,282,60.5,580.5,0.2554348303405525,0.003970875681562386,-5.528768633905208,-12.90652754213308
14,1383,3,15,283,100.5,580.5,0.267201248124519,0.0041537911523114755,-5.483733831077264,-12.861492739305136
14,1383,4,15,284,140.5,580.5,0.31427066435889106,0.004885511254934977,-5.321481340839827,-12.6992402490677
14,1383,5,15,285,180.5,580.5,0.3140543963660199,0.004882149249399367,-5.322169736114598,-12.69992864434247
14,1383,6,15,286,220.5,580.5,0.3176864308399286,0.004938611233647216,-5.310671114097912,-12.688430022325784
14,1383,7,15,287,260.5,580.5,0.2820348541109077,0.004384387759683691,-5.4297052844148315,-12.807464192642705
14,1383,8,15,288,300.5,580.5,0.3229792672163624,0.005020891301818221,-5.294147810875672,-12.671906719103545
14,1383,9,15,289,340.5,580.5,0.3548362916696966,0.005516126362440258,-5.200079410966799,-12.577838319194672
14,1383,10,15,290,380.5,580.5,0.3033342618550212,0.004715498830675934,-5.356900571954932,-12.734659480182804
14,1383,11,15,291,420.5,580.5,0.3447009735262405,0.005358567237527298,-5.229058646063633,-12.606817554291506
14,1383,12,15,292,460.5,580.5,0.3722393214072548,0.00578666608279963,-5.1521989593167294,-12.529957867544603
14,1383,13,15,293,500.5,580.5,0.3173681251231653,0.004933662995271454,-5.311673565746924,-12.689432473974797
14,1383,14,15,294,540.5,580.5,0.3026701078112953,0.00470517418881904,-5.35909248456441,-12.736851392792282
14,1383,15,15,295,580.5,580.5,0.2634022287928565,0.004094733296114763,-5.498053692952004,-12.875812601179877
14,1383,16,15,296,620.5,580.5,0.17917585717710055,0.002785387775970384,-5.883368177963233,-13.261127086191106
14,1383,17,15,297,660.5,580.5,0.1514151946076228,0.00235383292593591,-6.05171024720156,-13.429469155429432
14,1383,18,15,298,700.5,580.5,0.2048861708158711,0.003185068818126708,-5.749281383244276,-13.127040291472149
14,1383,19,15,299,740.5,580.5,0.27934802025497124,0.004342619441695451,-5.439277554943351,-12.817036463171224
14,1383,20,15,300,780.5,580.5,0.2873620336579006,0.004467201711431259,-5.410993081725842,-12.788751989953713
15,1393,1,1,1,20.5,20.5,0.018348443575582917,1.8864697869679374e-4,-8.575633127071582,-15.953392035299455
15,1393,2,1,2,60.5,20.5,0.034154317957952436,3.511528847488461e-4,-7.954288860246054,-15.332047768473927
15,1393,3,1,3,100.5,20.5,0.040628426514414555,4.1771553426735375e-4,-7.780709897142253,-15.158468805370125
15,1393,4,1,4,140.5,20.5,0.047508603897181534,4.884531241239785e-4,-7.624267049890325,-15.002025958118198
