V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
-4.7977648504039765,-5.394701116231476,-4.75600582878715,-5.002596072427068,-5.349981598273175,-5.340458063184853,-4.642917240407766,-4.86774404379286,-4.945652668784913,-5.080671265243419,-4.9380099517525515,-5.0685272612314884,-5.113515547798743,-5.076552372863457
-4.7977648504039765,-5.394701116231476,-5.568387558963963,-5.002596072427068,-5.349981598273175,-5.340458063184853,-5.672672433877905,-4.86774404379286,-4.945652668784913,-5.080671265243419,-5.027077233011259,-5.0685272612314884,-5.113515547798743,-5.076552372863457
-5.394701116231476,-5.002596072427068,-5.349981598273175,-5.340458063184853,-5.672672433877905,-4.86774404379286,-4.945652668784913,-5.080671265243419,-5.027077233011259,-5.0685272612314884,-5.113515547798743,-5.076552372863457,999,999
-4.7977648504039765,-5.394701116231476,-5.568387558963963,-5.002596072427068,-5.349981598273175,-5.340458063184853,-5.672672433877905,-4.86774404379286,-4.945652668784913,-5.080671265243419,-5.113515547798743,-5.076552372863457,999,999
-6.091200713861159,-5.955773294496627,-5.892534832830333,-5.885686945523995,-5.524755590560188,-5.047711327297132,-5.148250626979709,-5.15629802852244,-4.8909575303606205,-4.579368281555014,-4.732335523375045,-4.538789126389828,-4.612060495138318,-4.684635318343514
-5.349981598273175,-5.340458063184853,-4.86774404379286,-4.945652668784913,-5.080671265243419,-5.027077233011259,-5.0685272612314884,-5.113515547798743,-5.076552372863457,-5.19335868404347,-5.569546591110321,-5.45135317032071,-5.0097376571964265,999
-5.027077233011259,-5.015298843069742,-4.936165056449999,-5.076552372863457,-5.19335868404347,-5.270166214637925,-5.096378735782419,-5.194255311861035,-5.704886675521764,-5.31510764223655,-5.6682162573739765,-5.989494286106083,-5.923589729241418,999
-4.86774404379286,-4.945652668784913,-5.080671265243419,-5.0685272612314884,-5.113515547798743,-5.076552372863457,-5.19335868404347,-5.569546591110321,-5.45135317032071,-5.0097376571964265,-5.194255311861035,-5.7869461340923865,-5.592552921729269,999
-5.6395308271722335,-5.700531033995489,-6.0424176379322745,-6.155081858887155,-5.700229876820363,-5.8362687460761045,-6.174542115686895,-6.337065079370476,-5.747792995262231,-5.852038622897534,-6.213272396320594,-6.45802293490785,-5.850199728989506,-6.0826485184277566
-6.0424176379322745,-6.155081858887155,-6.119521359184632,-6.174542115686895,-6.337065079370476,-6.436794265804724,-6.528815654763559,-6.213272396320594,-6.45802293490785,-6.526878222666844,-6.570802395405779,-6.097932960115481,-6.262693348710414,999
-5.8362687460761045,-6.174542115686895,-6.337065079370476,-5.747792995262231,-5.852038622897534,-6.213272396320594,-6.45802293490785,-5.740026059541239,-5.850199728989506,-6.0826485184277566,-6.097932960115481,-5.977731950867602,-6.057183036095646,999
-4.974373647214705,-5.168187342312971,-5.672661120105285,-5.921490145792085,-5.426825402774364,-5.4063920757518,-5.76408313041367,-5.552873877605543,-5.756159793772505,-5.487083121693647,-6.018103034804112,-5.511116629703883,-5.6996432924082505,999
-5.660651501923511,-5.939039510731868,-5.572271464350836,-5.988671903268049,-6.016675984693565,-5.293546782081735,-5.924642936018441,-5.436607066277705,-5.479474957640512,-5.510832513734571,-5.319314100722149,-5.688569978972195,-5.7887799643088975,-5.816520792575985
-6.036986765701367,-5.995654715988161,-5.660651501923511,-5.939039510731868,-6.251796169344877,-5.988671903268049,-6.016675984693565,-5.293546782081735,-5.924642936018441,-5.436607066277705,-5.479474957640512,999,999,999
-6.390474331799341,-6.036986765701367,-6.12845956929328,-5.995654715988161,-5.660651501923511,-5.939039510731868,-5.572271464350836,-6.251796169344877,-5.988671903268049,-6.016675984693565,-5.293546782081735,-5.924642936018441,-5.436607066277705,-5.479474957640512
-6.034539108184313,-5.995654715988161,-5.660651501923511,-5.939039510731868,-6.384734864010578,-6.251796169344877,-5.988671903268049,-6.016675984693565,-6.097717379982737,-5.924642936018441,-5.436607066277705,-5.479474957640512,-5.781508818138596,-5.688569978972195
-6.390474331799341,-6.036986765701367,-6.12845956929328,-6.034539108184313,-5.995654715988161,-5.660651501923511,-5.939039510731868,-5.572271464350836,-6.251796169344877,-5.988671903268049,-6.016675984693565,-5.436607066277705,999,999
-6.355648796045885,-6.103005469307272,-6.068832213546705,-6.092109710946563,-6.390474331799341,-6.036986765701367,-6.12845956929328,-6.034539108184313,-5.995654715988161,-5.660651501923511,-5.939039510731868,-6.251796169344877,-5.988671903268049,999
-6.034539108184313,-5.995654715988161,-5.660651501923511,-6.384734864010578,-6.251796169344877,-5.988671903268049,-6.016675984693565,-6.097717379982737,-5.924642936018441,-5.436607066277705,-5.479474957640512,-5.781508818138596,-5.688569978972195,999
-5.995654715988161,-5.660651501923511,-6.384734864010578,-6.251796169344877,-5.988671903268049,-6.016675984693565,-6.097717379982737,-5.924642936018441,-5.436607066277705,-5.479474957640512,-5.7770875575012415,-5.781508818138596,-5.688569978972195,-5.7887799643088975
-6.384734864010578,-6.251796169344877,-6.047774917489509,-6.097717379982737,-5.924642936018441,-5.436607066277705,-5.571827476053452,-5.7770875575012415,-5.781508818138596,-5.688569978972195,-5.76913430095441,-5.787680113476359,-5.837996883434111,-5.713061080530397
-5.505448554476457,-5.78902526680892,-6.034539108184313,-6.245191497432079,-6.45227497875888,-6.384734864010578,-5.639801735721314,-6.0745507948064095,-6.047774917489509,-6.097717379982737,-5.924642936018441,-5.717412698847754,-5.571827476053452,-5.7770875575012415
-6.277471374636161,-6.355648796045885,-6.103005469307272,-5.602191228786475,-6.092109710946563,-6.390474331799341,-6.036986765701367,-5.78902526680892,-6.034539108184313,-5.995654715988161,-5.660651501923511,-6.384734864010578,-6.251796169344877,-5.988671903268049
-6.277471374636161,-6.355648796045885,-6.103005469307272,-6.092109710946563,-6.390474331799341,-6.036986765701367,-6.12845956929328,-6.034539108184313,-5.995654715988161,-5.660651501923511,-5.939039510731868,-6.384734864010578,-6.251796169344877,-5.988671903268049
-6.390474331799341,-6.036986765701367,-6.12845956929328,-6.034539108184313,-5.995654715988161,-5.660651501923511,-5.939039510731868,-6.384734864010578,-6.251796169344877,-5.988671903268049,-6.016675984693565,-5.924642936018441,-5.436607066277705,-5.479474957640512
-5.74664277137838,-5.755146795600622,-5.722021458869342,-5.271591556165392,-5.162174483186925,-5.202124785062525,-5.403088475178167,-5.129572573321477,-5.211107812604475,-5.172202026422708,-5.087185867952286,-5.5571361834176,-5.410832827155036,-5.08586113429693
-5.160012229152319,-5.275225215084215,-5.457803848097889,-5.560514689442979,-5.52237919656931,-5.414558676072399,-5.259848970026224,-5.225268534277814,-5.184357100565434,-5.167059334532801,-5.148205581276618,-5.282328270814621,-5.269575611899725,999
-5.275225215084215,-5.457803848097889,-5.5571361834176,-5.560514689442979,-5.52237919656931,-5.414558676072399,-5.259848970026224,-5.225268534277814,-5.184357100565434,-5.167059334532801,-5.148205581276618,-5.282328270814621,-5.269575611899725,-5.248201012574856
-6.007381316413333,-5.629954072707993,-5.370819650084833,-6.245488187449433,-5.988189458530433,-5.540690360014218,-5.120688637965879,-5.38207624545694,-5.9481803869671115,-5.520177364886722,-5.098302155634578,-5.94617586815841,-5.587622415502472,-5.27740345858907
-5.792313166453607,-5.74664277137838,-5.755146795600622,-5.53363328388523,-5.271591556165392,-5.162174483186925,-5.202124785062525,-5.156562121027162,-5.129572573321477,-5.211107812604475,-5.172202026422708,-5.457803848097889,-5.5571361834176,-5.410832827155036
-5.792313166453607,-5.74664277137838,-5.755146795600622,-5.271591556165392,-5.162174483186925,-5.202124785062525,-5.156562121027162,-5.129572573321477,-5.211107812604475,-5.172202026422708,-5.087185867952286,-5.457803848097889,-5.5571361834176,-5.410832827155036
-6.007381316413333,-5.629954072707993,-6.245488187449433,-5.988189458530433,-5.540690360014218,-5.120688637965879,-6.1838755469646065,-5.9481803869671115,-5.520177364886722,-5.098302155634578,-6.140145164842639,-5.94617586815841,-5.587622415502472,-5.27740345858907
-5.40472151050802,-5.446421524135064,-5.069629606010172,-5.1122742140326825,-5.290514596518574,-5.628325132539789,-5.053598953058474,-5.223695475165483,-4.948491919172517,-5.092076415123612,-5.253520783855898,-5.091183953594977,-4.9203073386178175,-4.89972466769851
-5.271591556165392,-5.162174483186925,-5.202124785062525,-5.156562121027162,-5.129572573321477,-5.211107812604475,-5.172202026422708,-5.275225215084215,-5.457803848097889,-5.5571361834176,-5.410832827155036,-5.414558676072399,-5.259848970026224,-5.166389664923462
-5.271591556165392,-5.162174483186925,-5.202124785062525,-5.129572573321477,-5.211107812604475,-5.172202026422708,-5.087185867952286,-5.457803848097889,-5.5571361834176,-5.410832827155036,-5.08586113429693,-5.414558676072399,-5.259848970026224,-5.166389664923462
-6.670952762977627,-6.353267832589895,-6.21741915286812,-6.007381316413333,-5.629954072707993,-5.370819650084833,-5.504474986974795,-5.988189458530433,-5.540690360014218,-5.120688637965879,-5.38207624545694,-5.520177364886722,-5.098302155634578,999
-5.129572573321477,-5.211107812604475,-5.172202026422708,-5.275225215084215,-5.457803848097889,-5.5571361834176,-5.410832827155036,-5.414558676072399,-5.259848970026224,-5.166389664923462,-5.167059334532801,-5.148205581276618,999,999
-5.275225215084215,-5.457803848097889,-5.5571361834176,-5.560514689442979,-5.52237919656931,-5.414558676072399,-5.259848970026224,-5.225268534277814,-5.184357100565434,-5.167059334532801,-5.148205581276618,-5.282328270814621,-5.269575611899725,-5.248201012574856
-4.952684282065119,-5.181646782821249,-4.729180262287606,-4.874201775651665,-5.431923241923225,-5.394511690988638,-5.10642158940751,-5.332256689148804,-5.40531664351303,-5.0932251958006205,-5.274458853083541,999,999,999
