id_ppt,id_img,order,ppt,image,trial,x,y,duration,train,log_lik_saliency,n_neighbors
1,5,1,PP09,1092,6,375.838235294118,294.147518382353,0.51,FALSE,-10.504268462376203,12
1,5,2,PP09,1092,6,432.201327433628,450.567788993363,0.452,FALSE,-11.028911957534596,13
1,5,3,PP09,1092,6,441.2451171875,488.608932495117,1.024,FALSE,-10.943707884957284,14
1,5,4,PP09,1092,6,405.206043956044,409.235491071428,0.182,FALSE,-11.223732657798237,13
1,5,5,PP09,1092,6,506.490709459459,537.613492398649,0.296,FALSE,-10.739891736925731,11
1,5,6,PP09,1092,6,446.858974358974,509.945913461538,0.312,FALSE,-10.943707884957284,13
1,5,7,PP09,1092,6,365.710495283019,261.717828714623,0.424,FALSE,-10.398332933053032,13
1,5,8,PP09,1092,6,404.086134453781,361.700695903361,0.238,FALSE,-10.761390384776528,13
1,5,9,PP09,1092,6,379.475746268657,296.108325559702,0.67,FALSE,-10.504268462376203,12
1,5,10,PP09,1092,6,383.351868327402,271.374555160143,0.562,FALSE,-10.398332933053032,13
1,5,11,PP09,1092,6,239.725418410042,225.019612970711,0.478,FALSE,-10.909758424676603,14
1,5,12,PP09,1092,6,429.078389830509,304.558395127119,0.118,FALSE,-10.219051541006879,13
1,5,13,PP09,1092,6,385.870726495726,329.296875,0.234,FALSE,-10.666320278422086,13
1,7,1,PP09,1211,27,568.532436708861,349.912232990506,0.316,FALSE,-11.110174550408,13
1,7,2,PP09,1211,27,339.366438356164,249.028788527397,0.438,FALSE,-11.183257432296713,14
1,7,3,PP09,1211,27,304.084821428571,216.336495535714,0.168,FALSE,-11.69245437792425,11
1,7,4,PP09,1211,27,310.268501805054,205.632333032491,0.554,FALSE,-11.69245437792425,14
1,7,5,PP09,1211,27,281.756024096386,230.421686746988,0.83,FALSE,-11.69245437792425,14
1,7,6,PP09,1211,27,298.995098039216,187.358302696079,0.306,FALSE,-11.364433976579711,12
1,7,7,PP09,1211,27,287.984649122807,151.108141447368,1.14,FALSE,-11.740769240357569,13
1,7,8,PP09,1211,27,274.620535714286,233.046177455357,0.448,FALSE,-11.95557864400108,13
1,7,9,PP09,1211,27,278.148148148148,249.549696180555,0.216,FALSE,-11.628425410674641,14
1,7,10,PP09,1211,27,237.317216981132,289.718455188679,0.212,FALSE,-11.480870032157442,14
1,7,12,PP09,1211,27,180.794956140351,248.73046875,0.228,FALSE,-11.75155739214571,14
1,7,13,PP09,1211,27,253.480201863354,166.846612965838,0.644,FALSE,-11.699437190644362,14
1,7,14,PP09,1211,27,264.306556195966,153.491984870317,0.694,FALSE,-12.094256806455542,14
1,7,15,PP09,1211,27,291.552309782609,195.072605298913,0.368,FALSE,-11.364433976579711,14
1,11,1,PP09,1316,28,276.237223168654,334.887736903748,1.174,FALSE,-11.011886784244808,14
1,11,2,PP09,1316,28,403.630747126437,399.4140625,0.87,FALSE,-10.970372965087769,13
1,11,3,PP09,1316,28,276.142857142857,469.130859375,0.28,FALSE,-11.246366645134824,14
1,11,4,PP09,1316,28,325.032407407408,446.657986111111,0.27,FALSE,-11.061593126946311,13
1,11,5,PP09,1316,28,204.590163934426,325.1953125,0.122,FALSE,-10.996900239538512,13
1,11,6,PP09,1316,28,208.794642857143,344.878029336735,0.196,FALSE,-10.996900239538512,14
1,11,7,PP09,1316,28,230.281862745098,400.494025735294,0.102,FALSE,-10.864779921087411,14
1,11,8,PP09,1316,28,219.134221311476,375.665183145492,0.488,FALSE,-10.864779921087411,12
1,11,9,PP09,1316,28,342.991593567251,447.729920504386,0.684,FALSE,-11.061593126946311,14
1,11,10,PP09,1316,28,428.112980769231,312.913161057693,0.416,FALSE,-10.560433417518617,13
1,11,11,PP09,1316,28,426.528846153846,274.642427884615,0.13,FALSE,-10.30196681307454,14
1,11,12,PP09,1316,28,429.992088607595,286.415892009494,0.316,FALSE,-10.560433417518617,13
1,11,13,PP09,1316,28,549.385080645161,297.202620967742,0.248,FALSE,-10.3162285885916,12
1,11,14,PP09,1316,28,618.789657360406,313.827530139594,0.788,FALSE,-10.419466949492719,13
1,11,15,PP09,1316,28,489.759078212291,268.61469972067,0.358,FALSE,-10.305465048535233,13
1,11,16,PP09,1316,28,453.32196969697,257.194602272728,0.33,FALSE,-10.616621819900699,12
1,14,1,PP09,1383,7,234.121900826446,264.482986828512,0.484,FALSE,-10.662272550014144,14
1,14,2,PP09,1383,7,188.215297450425,225.788442811615,0.706,FALSE,-10.973200649278901,13
1,14,3,PP09,1383,7,299.238888888889,149.765625,0.45,FALSE,-12.075200993786105,14
1,14,4,PP09,1383,7,154.394132653061,237.134287308673,0.392,FALSE,-11.177923584463883,13
1,14,5,PP09,1383,7,164.265873015873,249.94884672619,0.504,FALSE,-10.589303742124631,14
1,14,6,PP09,1383,7,261.03125,214.248046875,0.2,FALSE,-10.832443817657103,12
1,14,7,PP09,1383,7,127.558333333333,208.6171875,0.15,FALSE,-11.177923584463883,13
1,14,8,PP09,1383,7,132.874681122449,225.956632653062,0.784,FALSE,-11.177923584463883,13
1,14,9,PP09,1383,7,283.69,164.3109375,0.25,FALSE,-11.811484464709922,13
1,14,10,PP09,1383,7,132.234299516908,207.546422101449,0.414,FALSE,-11.177923584463883,13
1,16,1,PP09,1416,8,311.406739811912,261.737730211599,0.638,FALSE,-10.801739470104541,14
1,16,2,PP09,1416,8,248.101644245142,250.238228699552,1.338,FALSE,-10.484002797372622,13
1,16,3,PP09,1416,8,118.731884057971,168.011209239131,0.552,FALSE,-11.83090632552869,14
1,16,4,PP09,1416,8,127.916666666667,161.871995192307,0.39,FALSE,-11.423496147657232,14
1,16,5,PP09,1416,8,339.443430656934,192.330776687956,0.548,FALSE,-11.313964413250215,14
1,16,6,PP09,1416,8,609.80516194332,178.815315030364,0.494,FALSE,-11.156850579124256,13
1,16,7,PP09,1416,8,604.795353982301,154.993431969026,0.226,FALSE,-11.549462882817094,13
1,16,8,PP09,1416,8,280.66875,186.75,0.2,FALSE,-11.473322459089433,14
1,16,9,PP09,1416,8,282.159090909091,140.912642045455,0.11,FALSE,-11.417516535552519,13
1,16,10,PP09,1416,8,283.5,122.63671875,0.18,FALSE,-11.417516535552519,13
1,16,11,PP09,1416,8,242.206439393939,298.304332386364,0.528,FALSE,-10.647752285462072,14
1,16,12,PP09,1416,8,277.230392156862,259.133731617647,0.102,FALSE,-10.484002797372622,14
1,17,1,PP09,1488,3,608.6,387.4248046875,0.4,FALSE,-11.131636647889081,13
1,17,2,PP09,1488,3,418.257515822785,470.179613330696,0.632,FALSE,-11.198700386998555,13
1,17,3,PP09,1488,3,342.457932692308,242.690805288462,0.208,FALSE,-11.67913473996828,14
